review_text,review_rating
"Tempatnya persis di depan Mall Ratu Indah. (MALL MaRi)

Lengkapnyaaa. Harga lebih murah krn beli nya 1 pak gtu. Tapi bisa juga kalau mau satuan.

Repotnya itu di tiap kasir ga ada mesin ATM. Gesek debitnya musti ke tempat penitipan barang.

Karyawannya jangan ditanya. Ga ada edukasi senyum salam sapa kayaknya. Datar aja wajahnya dan cuek aja ngobrol.

Utk tempat syempiiit. Secara barangnya lengkap. Jadi buanyaaak tapi lorongnya hanya muat 2orang. Belom lagi klo ada yg bawa keranjang trus ketemu di perempatan🤭.

Oya tadi sempat ke toiletnya. Sempiit dan kesian liat tempat buat karyawannya istirahat dan makan. Ngenes sih",4
"Toko ATK terbesar dan terlengkap d Makassar buka mulai pukul 06.00 pagi - Sore. Selain ATK banyak juga tersedia seperti Peralatan bantu dirumah, decor untuk acara, mainan anak2, aneka kertas dan plastik",5
"Toko yg pas berhadapan dgn Mall Ratu Indah atau biasa disingkat Mari ini semakin berkembang.
Awalnya berada dkt jembatan penyeberangan ke Mall Ratu Indah dan tokonya msh kecil,skrg jd tempat foto copy termasuk foto copy berwarna.
Toko ini termasuk lengkap menjual alat-alat tulis kantor dan pernah jd viral ketika masa PPKM pandemi covid 19 di kota Makassar.",4
Toko perlengkapan alat tulis sekolah dan kantor terlengkap di Makassar. Harga terjangkau don lokasi mudah diakses.,5
"Perlengkapan alat tulis menulis, perkantoran lengkap. Apalagi bagi Mahasiswa yang ingin burning CD sendiri. Tempat CD kaset hitam ✅, CD ✅, Stiker CD ✅. Namun, pelayanan bagian CD kurang memberikan informasi dan pelayanan yg baik.",4
"Semua perlengkapan sekolah,kantor,alat tulis, dekorasi dll ada disini lengkap, barangnya juga bagus banyak pilihan dari segi harga juga lumayan murah, karyawannya lumayan ramah kasir juga welcome, cuman disana ada beberapa pengemis jadi agak menganggu. Selebihnya worth it.",5
"Toko yang menjual alat tulis, alat belajar mengajar, perintilan usaha juga barang2 lainnya. Tokonya besar dan lengkap skali. Ada alat2 tulis, mewarnai, perlengkapan ulang tahun, mainan anak, tas, berbagai jenis masker, box makanan, paper bag, hingga tinta printer smuanya lengkap dsini. Bahkan barang2 kayak pisau, sendok, sikat pakaian juga ada dsini. Bisa beli satuan atau beli banyak (untuk pedagang).

Parkirannya agak kecil untuk mobil. Untuk motor sih aman. Tp skrng parkiran mobilnya sdh disediakan di samping toko. Di atas parkiran bahkan ada cafe dengan nama yg sama (cafe agung). Hanya saja karna toko ini yang paling lengkap di Makassar jd pengunjungnya slalu ramai dan slalu menjadi sumber kemacetan di jalan ratulangi.

Pelayanannya lumayan, banyak staff dimana2. Disetiap lorong ada staff yg menjaga. Ramah2 wlpun ada juga yg jutek dan kurang responsif terhadap pertanyaan dan kebutuhan pengunjung. Pembayarannya bisa melalu debit dan tunai. Kasirnya banyak tp tetap jg harus antri panjang apalagi hari libur skolah. Tokonya lumayan panas krn tdk bgitu banyak AC. Tapi sangat lengkap dan yang pastinya murah. Klw mau enak blanjanya pagi2 skali krn tokonya buka jam 7 pagi.",5
"Tepat di depan MARI (Mall Ratu Indah). ATK nya tergolong murah dan jadi pusat perbelanjaan grosir. Tempatnya lumayan lengkap untuk kebutuhan sekolah dan kantor. Tapi jujur saja, saya lumayan nggk nyaman belanja di toko ini, karena display-an barangnya terkesan acak...",4
"Berbagai kebutuhan ATK, dan segala macam kebutuhan rumah tangga tersedia. Untuk keperluan dekorasi ulang tahun juga sangat lengkap, boneka, buku tulis beraneka ragam model dan jenis ada banyak pilihan. Pokoknya lengkap dan yang mesti diingat ya, wajib patuhi protokol kesehatan karena pengunjungnya sangat ramai. Dan yang paling penting lokasinya yang sangat strategis.",5
"Tempatnya luas, sampe bingung cari yg di perlukan.
Segala macam ATK lengkap dng stok yg melimpah, alat jahit, perlengkapan ultah, segala macam kemasan makanan minuman, perlengkapan rumah tangga dan banyak lagi.
Tapi sayang dalamnya panas bangett. Dan sebagian karyawannya gak ramah sama sekali.",4
